file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,76,css,c0d10d8a,andrewyounucsd,2026-04-10,01:49:27,-07:00,2026-04-10T01:49:27-07:00,2,15
style.css,77,css,c0d10d8a,andrewyounucsd,2026-04-10,01:49:27,-07:00,2026-04-10T01:49:27-07:00,0,0
style.css,78,css,c0d10d8a,andrewyounucsd,2026-04-10,01:49:27,-07:00,2026-04-10T01:49:27-07:00,0,0
style.css,79,css,c0d10d8a,andrewyounucsd,2026-04-10,01:49:27,-07:00,2026-04-10T01:49:27-07:00,0,20
style.css,80,css,c0d10d8a,andrewyounucsd,2026-04-10,01:49:27,-07:00,2026-04-10T01:49:27-07:00,2,8
style.css,81,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,0
style.css,82,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,0
style.css,83,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,2
style.css,84,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,2,14
style.css,85,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,0
style.css,86,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,0
style.css,87,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,0,22
style.css,88,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,2,15
style.css,89,css,678ad4ea,andrewyounucsd,2026-04-10,01:55:14,-07:00,2026-04-10T01:55:14-07:00,2,17
style.css,90,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,91,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,92,css,6e76918c,andrewyounucsd,2026-04-10,02:10:43,-07:00,2026-04-10T02:10:43-07:00,0,15
style.css,93,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,2,13
style.css,94,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,2,41
style.css,95,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,96,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,97,css,6e76918c,andrewyounucsd,2026-04-10,02:10:43,-07:00,2026-04-10T02:10:43-07:00,0,12
style.css,98,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,2,21
style.css,99,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,100,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,0,0
style.css,101,css,6e76918c,andrewyounucsd,2026-04-10,02:10:43,-07:00,2026-04-10T02:10:43-07:00,0,15
style.css,102,css,265ad6b0,andrewyounucsd,2026-04-10,02:03:52,-07:00,2026-04-10T02:03:52-07:00,2,18
style.css,103,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,0
style.css,104,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,0
style.css,105,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,13
style.css,106,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,17
style.css,107,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,8
style.css,108,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,10
style.css,109,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,13
style.css,110,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,19
style.css,111,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,0
style.css,112,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,0
style.css,113,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,0,31
style.css,114,css,2e7ed85d,andrewyounucsd,2026-04-16,18:13:46,-07:00,2026-04-16T18:13:46-07:00,2,12
style.css,115,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,0,0
style.css,116,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,0,0
style.css,117,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,0,13
style.css,118,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,2,10
style.css,119,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,2,12
style.css,120,css,ad327fec,andrewyounucsd,2026-04-24,15:04:30,-07:00,2026-04-24T15:04:30-07:00,2,16
style.css,121,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,0,0
style.css,122,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,0,0
style.css,123,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,0,13
style.css,124,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,2,30
style.css,125,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,2,34
style.css,126,css,0292ad22,andrewyounucsd,2026-05-01,20:19:19,-07:00,2026-05-01T20:19:19-07:00,2,21
style.css,127,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,0,0
style.css,128,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,0,0
style.css,129,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,0,18
style.css,130,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,1,14
style.css,131,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,1,16
style.css,132,css,da7618b4,andrewyounucsd,2026-05-01,20:24:19,-07:00,2026-05-01T20:24:19-07:00,1,16
style.css,133,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,134,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,135,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,7
style.css,136,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,12
style.css,137,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,57
style.css,138,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,7
style.css,139,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,11
style.css,140,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,10
style.css,141,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,41
style.css,142,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,6
style.css,143,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,144,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,145,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,12
style.css,146,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,12
style.css,147,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,18
style.css,148,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,9
style.css,149,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,150,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,151,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,7
style.css,152,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,20
style.css,153,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,9
style.css,154,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,18
style.css,155,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,29
style.css,156,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,17
style.css,157,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,158,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,0
style.css,159,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,0,10
style.css,160,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,12
style.css,161,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,18
style.css,162,css,0f4b9fe5,andrewyounucsd,2026-05-01,20:29:56,-07:00,2026-05-01T20:29:56-07:00,1,7
style.css,163,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,0
style.css,164,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,0
style.css,165,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,9
style.css,166,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,1,35
style.css,167,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,0
style.css,168,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,1,10
style.css,169,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,2,17
style.css,170,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,1,0
style.css,171,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,0
style.css,172,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,0
style.css,173,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,0,8
style.css,174,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,1,14
style.css,175,css,0576b99c,andrewyounucsd,2026-05-01,20:34:25,-07:00,2026-05-01T20:34:25-07:00,1,16
